EVENTO;ITENS;CATEGORIA;VALOR
CAFÉ DA MANHÃ PREMIUM;Água;BEBIDAS; R$ 119,00 
CAFÉ DA MANHÃ PREMIUM;Água Aromatizada do Dia;BEBIDAS;
CAFÉ DA MANHÃ PREMIUM;Café;BEBIDAS;
CAFÉ DA MANHÃ PREMIUM;Leite;BEBIDAS;
CAFÉ DA MANHÃ PREMIUM;Chás Variados;BEBIDAS;
CAFÉ DA MANHÃ PREMIUM;Chocolate em Pó;BEBIDAS;
CAFÉ DA MANHÃ PREMIUM;Iogurte do Dia com Granola à Parte;BEBIDAS;
CAFÉ DA MANHÃ PREMIUM;SUCOS (2 opções);;
CAFÉ DA MANHÃ PREMIUM;Laranja com Fruta da Estação;SUCOS;
CAFÉ DA MANHÃ PREMIUM;Frutas Amarelas (Maracujá e Abacaxi);SUCOS;
CAFÉ DA MANHÃ PREMIUM;Laranja com Acerola;SUCOS;
CAFÉ DA MANHÃ PREMIUM;Abacaxi com Hortelã;SUCOS;
CAFÉ DA MANHÃ PREMIUM;Limão com Hortelã e Gengibre;SUCOS;
CAFÉ DA MANHÃ PREMIUM;Maracujá com Manjericão;SUCOS;
CAFÉ DA MANHÃ PREMIUM;Uva com Canela;SUCOS;
CAFÉ DA MANHÃ PREMIUM;Iced Tea de Pêssego;SUCOS;
CAFÉ DA MANHÃ PREMIUM;Iced Tea de Cranberry;SUCOS;
CAFÉ DA MANHÃ PREMIUM;Iced Tea de Limão;SUCOS;
CAFÉ DA MANHÃ PREMIUM;SNACKS (3 opções);;
CAFÉ DA MANHÃ PREMIUM;Pão de Queijo Recheado com Catupiry;SNACKS;
CAFÉ DA MANHÃ PREMIUM;Bauruzinho de Presunto, Queijo e Tomates;SNACKS;
CAFÉ DA MANHÃ PREMIUM;Pão Delícia de Azeitonas;SNACKS;
CAFÉ DA MANHÃ PREMIUM;Mini-Pão de Queijo Multi Grãos Recheado com Catupiry;SNACKS;
CAFÉ DA MANHÃ PREMIUM;Bauruzinho de Presunto, Queijo e Tomate;SNACKS;
CAFÉ DA MANHÃ PREMIUM;Empanada Argentina de Frango;SNACKS;
CAFÉ DA MANHÃ PREMIUM;Bolinho de Cenoura com Roquefort;SNACKS;
CAFÉ DA MANHÃ PREMIUM;Croissant de Presunto e Queijo;SNACKS;
CAFÉ DA MANHÃ PREMIUM;Croissant Peito de Peru e Queijo;SNACKS;
CAFÉ DA MANHÃ PREMIUM;Folhado de Calabresa;SNACKS;
CAFÉ DA MANHÃ PREMIUM;Ovo Mexido;SNACKS;
CAFÉ DA MANHÃ PREMIUM;Ovo Mexido com Bacon;SNACKS;
CAFÉ DA MANHÃ PREMIUM;Pão de Mandioquinha com Catupiry;SNACKS;
CAFÉ DA MANHÃ PREMIUM;Mini-Pão de Queijo de Mandioquinha VEGAN;SNACKS;
CAFÉ DA MANHÃ PREMIUM;Mini-Pão de Queijo de Abóbora VEGAN;SNACKS;
CAFÉ DA MANHÃ PREMIUM;MINI-SANDUÍCHES (2 opções);;
CAFÉ DA MANHÃ PREMIUM;Mini-Tostex de Presunto e Queijo;MINI-SANDUÍCHES;
CAFÉ DA MANHÃ PREMIUM;Mini-Sírio com Mussarela de Búfala e Pesto;MINI-SANDUÍCHES;
CAFÉ DA MANHÃ PREMIUM;Paninni de Rosbife com Cebola Caramelizada;MINI-SANDUÍCHES;
CAFÉ DA MANHÃ PREMIUM;Mini-Bagel de Parmesão com Brie e Pesto de Tomate;MINI-SANDUÍCHES;
CAFÉ DA MANHÃ PREMIUM;Mini-Bagel Lemon Pepper com Salame Hamburguês e Creme de Limão;MINI-SANDUÍCHES;
CAFÉ DA MANHÃ PREMIUM;Paninni Vegetariano de Azeitonas com Abobrinha e Berinjela Grelhada com Queijo e Manjericão;MINI-SANDUÍCHES;
CAFÉ DA MANHÃ PREMIUM;Mini-Tostex de Peito de Peru e Mussarela de Búfala;MINI-SANDUÍCHES;
CAFÉ DA MANHÃ PREMIUM;Presunto, Queijo Prato e Requeijão com Ervas;MINI-SANDUÍCHES;
