EVENTO;ITENS;CATEGORIA;VALOR
Almoco Buffet PREMIUM;Água + Refri;BEBIDAS NÃO ALCOÓLICAS; R$ 249,00 
Almoco Buffet PREMIUM;2 Sucos;BEBIDAS NÃO ALCOÓLICAS;
Almoco Buffet PREMIUM;SUCOS (2 opções);;
Almoco Buffet PREMIUM;Uva com Canela;SUCOS;
Almoco Buffet PREMIUM;Abacaxi com Manjericão Orgânico;SUCOS;
Almoco Buffet PREMIUM;Limão com Hortelã e Gengibre;SUCOS;
Almoco Buffet PREMIUM;Maracujá com Abacaxi e Limão;SUCOS;
Almoco Buffet PREMIUM;Morango com Melancia;SUCOS;
Almoco Buffet PREMIUM;Amora com Limão;SUCOS;
Almoco Buffet PREMIUM;Lichia Lemonade;SUCOS;
Almoco Buffet PREMIUM;Caju;SUCOS;
Almoco Buffet PREMIUM;Laranja com Fruta da Época;SUCOS;
Almoco Buffet PREMIUM;Abacaxi com Hortelã;SUCOS;
Almoco Buffet PREMIUM;Frutas Amarelas (Abacaxi com Maracujá ou outra fruta da estação);SUCOS;
Almoco Buffet PREMIUM;Limão com Capim Santo;SUCOS;
Almoco Buffet PREMIUM;SALADAS (2 opções);;
Almoco Buffet PREMIUM;Salada de Caponata com Straciatella;SALADAS;
Almoco Buffet PREMIUM;Caprese Clássica com Tomate, Mussarela de Búfala e Folhas de Manjericão;SALADAS;
Almoco Buffet PREMIUM;Salada de Lascas de Salmão com Frisée, Alface Roxa, Gergelim, Sour Cream de Wasabi e Teriyaki;SALADAS;
Almoco Buffet PREMIUM;Ceviche de Pupunha com Zuchinni, Maçã Verde, Manjericão Roxo e Melaço (vegano);SALADAS;
Almoco Buffet PREMIUM;Tartar Vegetariano de Tomate com Legumes, Queijo de Cabra e Azeite de Manjericão;SALADAS;
Almoco Buffet PREMIUM;Rúcula com Espinafre, Grão de Bico com Páprica e Amêndoas (vegano);SALADAS;
Almoco Buffet PREMIUM;Salada de Beterrava com Redução de Balsâmico, Hortelã, Chèvre e Nozes Caramelizadas;SALADAS;
Almoco Buffet PREMIUM;Carpaccio de Carne com Molho de Mostarda, Alcaparrones, Baby Rúcula e Lascas de Parmesão;SALADAS;
Almoco Buffet PREMIUM;Mix de Folhas com Queijo Brie, Damasco, Nozes Caramelizadas e Mel Trufado;SALADAS;
Almoco Buffet PREMIUM;Mix de Verdes com Radíchio, Tomate Sweet, Gorgonzola, Pêra e Nuts Caramelizados acompanha Dressing de Frutas Vermelhas;SALADAS;
Almoco Buffet PREMIUM;Salada Julienne de Alface, Tomate, Palmito, Cenoura Ralada, Batata Palha e Parmesão Ralado, ao Molho de Mostarda e Azeite;SALADAS;
Almoco Buffet PREMIUM;PRATOS PRINCIPAIS (2 opções);;
Almoco Buffet PREMIUM;Bife Ancho ao Molho Chimichurri;PRATOS PRINCIPAIS;
Almoco Buffet PREMIUM;Beef Ribs ao Molho Bourbon, corte especial de carne, cozida por 12h em baixa temperatura, derrete na boca!;PRATOS PRINCIPAIS;
Almoco Buffet PREMIUM;Beef Ribs ao Molho Demi-Glace;PRATOS PRINCIPAIS;
Almoco Buffet PREMIUM;Bombom de Mignon com Fonduta de Gorgonzola;PRATOS PRINCIPAIS;
Almoco Buffet PREMIUM;Bombom de Mignon ao Molho Mix de Mostardas;PRATOS PRINCIPAIS;
Almoco Buffet PREMIUM;Bombom de Mignon ao Molho Demi-Glace;PRATOS PRINCIPAIS;
Almoco Buffet PREMIUM;Bife de Tiras ao Molho Roti de Cogumelos;PRATOS PRINCIPAIS;
Almoco Buffet PREMIUM;Chorizo ao Molho Chimichurri;PRATOS PRINCIPAIS;
Almoco Buffet PREMIUM;Ballotine de Frango Recheado com Queijo, Tomate Seco e Rúcula ao Molho Bechamel;PRATOS PRINCIPAIS;
Almoco Buffet PREMIUM;Sobrecoxa de Frango ao Molho de Tangerina;PRATOS PRINCIPAIS;
Almoco Buffet PREMIUM;Arroz de Pato com Linguiça Artesanal e Batata Palha Crocante;PRATOS PRINCIPAIS;
Almoco Buffet PREMIUM;Peixe Branco Fresco Grelhado ao Bechamel de Limão Siciliano;PRATOS PRINCIPAIS;
Almoco Buffet PREMIUM;Peixe Branco Fresco ao Molho Champagne com Camarõezinhos;PRATOS PRINCIPAIS;
Almoco Buffet PREMIUM;Lombo de Atum Selado com Gergelim, Teriyaki e Sour Cream de Wasabi;PRATOS PRINCIPAIS;
Almoco Buffet PREMIUM;Salmão ao Molho Bechamel de Limão Siciliano;PRATOS PRINCIPAIS;
Almoco Buffet PREMIUM;Salmão Grelhado ao Molho de Frutas Vermelhas;PRATOS PRINCIPAIS;
Almoco Buffet PREMIUM;Polenta Cremosa finalizada no Azeite com Cogumelos Trufados e Legumes Braseados (vegano);PRATOS PRINCIPAIS;
Almoco Buffet PREMIUM;Bobó Vegano de Abóbora com Cogumelos (vegano);PRATOS PRINCIPAIS;
Almoco Buffet PREMIUM;MASSAS (1 opção);;
Almoco Buffet PREMIUM;Ravioli Verde de Mussarela de Búfala ao Molho de Tomate Rústico e Parmesão Ralado;MASSAS;
