EVENTO;ITENS;CATEGORIA;VALOR
ILHA GASTRONÔMICA VIP;PRATOS FRIOS (2 opções);; R$ 217,00 
ILHA GASTRONÔMICA VIP;Pirâmide de Rosbife com Pesto de Manjericão e Parmesão;PRATOS FRIOS;
ILHA GASTRONÔMICA VIP;Baby Caprese com Búfala, Tomatinhos Coloridos e Pesto de Manjericão;PRATOS FRIOS;
ILHA GASTRONÔMICA VIP;Ceviche de Pupunha com Zuchinni, Avelãs, Maçã Verde e Melaço de Cana – VEGANO;PRATOS FRIOS;
ILHA GASTRONÔMICA VIP;Carpaccio ao Molho de Mostarda Dijon com Lascas de Parmesão e Baby Rúcula;PRATOS FRIOS;
ILHA GASTRONÔMICA VIP;Couscous Marroquino com Medalhões de Pupunha e Legumes Crocantes;PRATOS FRIOS;
ILHA GASTRONÔMICA VIP;Tartar Vegetariano de Legumes com Queijo de Cabra e Chips de Raízes;PRATOS FRIOS;
ILHA GASTRONÔMICA VIP;Tartar de Salmão com Raspas de Limão Siciliano e Sour Cream;PRATOS FRIOS;
ILHA GASTRONÔMICA VIP;Saladinha de Grãos com Damasco e Raspas de Limão;PRATOS FRIOS;
ILHA GASTRONÔMICA VIP;Ceviche Clássico com Chips de Batata;PRATOS FRIOS;
ILHA GASTRONÔMICA VIP;Carpaccio de Zucchini Grelhado com Queijo de Cabra, Couve Crispy, Azeite Trufado e Flor de Sal;PRATOS FRIOS;
ILHA GASTRONÔMICA VIP;PRATOS QUENTES (1 opção);;
ILHA GASTRONÔMICA VIP;Polenta Cremosa com Ragú de Ossobuco;PRATOS QUENTES;
ILHA GASTRONÔMICA VIP;Risoto de Arroz Negro com Camarõezinhos e Limão Siciliano;PRATOS QUENTES;
ILHA GASTRONÔMICA VIP;Arroz de Pato com Linguiça Portuguesa e Batata Palha Artesanal;PRATOS QUENTES;
ILHA GASTRONÔMICA VIP;Arroz Caldoso de Couve-Flor com Cogumelos e Rúcula – VEGANO;PRATOS QUENTES;
ILHA GASTRONÔMICA VIP;Bobó Vegano com Arroz Cremoso, Tomatinhos Confitados e Coco em Fita – VEGANO;PRATOS QUENTES;
ILHA GASTRONÔMICA VIP;TERRINES (1 opção);;
ILHA GASTRONÔMICA VIP;Queijo de Cabra com Presunto Parma;TERRINES;
ILHA GASTRONÔMICA VIP;Gorgonzola com Caramelo Salgado;TERRINES;
ILHA GASTRONÔMICA VIP;Legumes Grelhados com Queijos Cremosos;TERRINES;
ILHA GASTRONÔMICA VIP;BRIE QUENTE (1 opção);;
ILHA GASTRONÔMICA VIP;Brie & Berries com Frutas Vermelhas;BRIE QUENTE;
ILHA GASTRONÔMICA VIP;Brie com Mel e Nuts Caramelizados;BRIE QUENTE;
ILHA GASTRONÔMICA VIP;QUEIJOS & CHARCUTERIE;;
ILHA GASTRONÔMICA VIP;Plateau de Queijos;QUEIJOS & CHARCUTERIE;
ILHA GASTRONÔMICA VIP;Seleção de Frios do Chef;QUEIJOS & CHARCUTERIE;
ILHA GASTRONÔMICA VIP;CASTANHAS;;
ILHA GASTRONÔMICA VIP;Castanhas do Brasil;CASTANHAS;
ILHA GASTRONÔMICA VIP;Frutas Secas;CASTANHAS;
ILHA GASTRONÔMICA VIP;Uvas Frescas;CASTANHAS;
ILHA GASTRONÔMICA VIP;SELEÇÃO DE PÃES;;
ILHA GASTRONÔMICA VIP;Pães Caseiros Variados;PÃES;
ILHA GASTRONÔMICA VIP;Mini-Pães Italianos;PÃES;
ILHA GASTRONÔMICA VIP;Pão de Centeio;PÃES;
ILHA GASTRONÔMICA VIP;Pão de Mandioquinha;PÃES;
ILHA GASTRONÔMICA VIP;Pão de Nozes;PÃES;
ILHA GASTRONÔMICA VIP;Pão de Azeitonas;PÃES;
ILHA GASTRONÔMICA VIP;ANTEPASTOS (2 opções);;
ILHA GASTRONÔMICA VIP;Ervas de Provence;ANTEPASTOS;
ILHA GASTRONÔMICA VIP;Azeitonas Pretas;ANTEPASTOS;
ILHA GASTRONÔMICA VIP;Queijos Cremosos com Alho Tostado;ANTEPASTOS;
ILHA GASTRONÔMICA VIP;Babaganush – VEGANO;ANTEPASTOS;
ILHA GASTRONÔMICA VIP;Homus – VEGANO;ANTEPASTOS;
ILHA GASTRONÔMICA VIP;Tomate Seco;ANTEPASTOS;
ILHA GASTRONÔMICA VIP;Sardela;ANTEPASTOS;
